Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
Havila Borg;;9430753;Norway (Int. Register);supply;Offshore;2009;Live;Havila Holding AS;Norway;;;Havila Shipping ASA;Norway;;;Havila Ships AS;Norway;;;Havila Shipping ASA;Norway;;;Havila Shipping ASA;Norway;;;-;-;;;78.60;7.70;6.51;1.20;
Virage;;9430882;Netherlands;chemical tanker;-5'dwt;2009;Live;Veka Group;Netherlands;;;Veka Group;Netherlands;;;Veka Scheepsbouw BV;Netherlands;;;Veka Group;Netherlands;;;-;-;;;-;-;;;110.00;5.40;3.80;1.60;
Vantage;;9430909;Netherlands;chemical tanker;-5'dwt;2010;Live;Veka Group;Netherlands;;;Veka Group;Netherlands;;;Veka Scheepsbouw BV;Netherlands;;;Veka Group;Netherlands;;;-;-;;;-;-;;;110.00;5.40;3.80;1.60;
Schokland;;9431599;Netherlands;general cargo with container capacity;-5'dwt;2010;Live;-;-;;;-;-;;;Buter H;Netherlands;;;Unlimited Seatrade CV;Netherlands;;;Unlimited Seatrade CV;Netherlands;;;-;-;;;89.98;6.25;5.15;1.10;
Amandine;;9424871;U.K.;Roll On Roll Off;10'-15'dwt;2011;Live;COBELFRET Group;Belgium;;;CLDN Roro Holding Limited;United Kingdom;;;CLDN RoRo Limited;United Kingdom;;;CLDN RoRo Limited;United Kingdom;;;CLDN RoRo Limited;United Kingdom;;;-;-;;;195.40;23.97;7.40;16.57;
Aasvik;;9433389;Portugal;general cargo with container capacity;5'-10'dwt;2011;Live;Aasen Shipping AS;Norway;;;Aasen Shipping AS;Norway;;;AS Aasen Bulk;Norway;;;Aasen Shipping AS;Norway;;;Aasen Shipping AS;Norway;;;Aasen Chartering AS;Norway;;;116.08;7.65;6.39;1.27;
VB Panther;;9434814;U.K.;tug;Tug;2009;Live;Boluda Corporacion Maritima SL;Spain;;;Boluda Towage Europe BV;Netherlands;;;VB Panther B.V.;Malta;;;Boluda Towage Europe BV;Netherlands;;;-;-;;;-;-;;;32.14;6.43;5.40;1.03;
Boka Northern Ocean;;9433183;Malta;support;Offshore;2012;Live;Royal Boskalis BV (Koninklijke Boskalis BV);Netherlands;;;Royal Boskalis BV (Koninklijke Boskalis BV);Netherlands;;;Boskalis Subsea North Star Limited;United Kingdom;;;Boskalis Offshore Fleet Management B.V.;Netherlands;;;Boskalis Offshore Fleet Management B.V.;Netherlands;;;Boskalis Offshore Fleet Management B.V.;Netherlands;;;132.44;9.70;6.85;2.85;
Veerman;;9431989;Netherlands;chemical tanker;-5'dwt;2008;Live;Stichting Administratiekantoor Van Loon Shipping;Netherlands;;;Van Loon Shipping BV;Netherlands;;;Scheepvaartbedrijf Veerman B.V.;Netherlands;;;Van Loon Shipping BV;Netherlands;;;-;-;;;-;-;;;110.00;5.40;4.50;0.90;
Ievoli Gold;;9404376;Italy;Combined chemical and oil tanker;10'-20'dwt;2009;Live;Marnavi S.p.A.;Italy;;;Marnavi S.p.A.;Italy;;;Marnavi S.p.A.;Italy;;;Marnavi S.p.A.;Italy;;;Marnavi S.p.A.;Italy;;;-;-;;;144.05;12.40;9.10;3.31;
