Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
Nome;;9938016;Cayman Islands;yacht;Yacht;2025;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;74.00;-;6.45;-;
CYRANO;;-;Belgium;Tanker (unspecified);Unknown size;2021;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;-;-;
MADONNA;;-;Germany;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
RNMB HAZARD;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
Golden Cedar;;1055856;Liberia;chemical tanker;10'-20'dwt;2025;Live;-;-;;;-;-;;;BRIGHT CHEMTWO SHIPPING LIMITED;Greece;;;-;-;;;-;-;;;-;-;;;149.80;12.70;9.50;3.30;
Golden Olive;;1055870;Liberia;Combined chemical and oil tanker;10'-20'dwt;2025;Live;-;-;;;-;-;;;BRIGHT CHEMTHREE SHIPPING LIMITED;People's Republic of China;;;Seacon Ships Management (Europe) SA;Greece;;;Seacon Ships Management (Europe) SA;Greece;;;-;-;;;149.80;12.70;9.50;3.20;
TOULOSE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
DRIFTER;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
PLEASURE;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
AQUAVITESSE 8;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
BEETHOVEN;;-;Belgium;Tanker (unspecified);Unknown size;2024;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;-;-;
SP76191;;-;France;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
CLEWDO;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
DIDOUAN;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;8.00;-;-;-;
Pluto;;-;Germany;general cargo;Unknown size;2023;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;85.00;-;-;-;
REGINA;;-;Netherlands;Tanker (unspecified);Unknown size;2023;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;-;-;
ONIRO;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
Hagetiz;;9099482;Switzerland;tank barge;Miscellaneous;1984;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;109.94;5.50;5.50;0.00;
AMELIE 1;;-;Belgium;Tanker (unspecified);Unknown size;2024;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;149.00;-;-;-;
HOPE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
SO WAD;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
Paul D;;1020289;U.K.;support;Offshore;2025;Live;Thamescraft Dry Docking Services Limited;United Kingdom;;;Thamescraft Dry Docking Services Limited;United Kingdom;;;Thamescraft Dry Docking Services Limited;United Kingdom;;;Thamescraft Dry Docking Services Limited;United Kingdom;;;Thamescraft Dry Docking Services Limited;United Kingdom;;;-;-;;;23.33;3.00;2.00;1.00;
Odin R;;9991379;Denmark (Int. Register);barge carrier;Miscellaneous;2024;Live;RN Holding A/S;Denmark;;;RN Shipping AS;Denmark;;;RN Shipping AS;Denmark;;;Rohde Nielsen AS;Denmark;;;Rohde Nielsen AS;Denmark;;;-;-;;;160.00;10.00;6.35;3.65;
AMELIE G;;-;U.K.;dredger;Other Service;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
Long Beach;;-;Switzerland;Tanker (unspecified);Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;0.00;-;-;-;
Noa;;-;Netherlands;Tanker (unspecified);Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
Arabella Jane;;1036707;U.K.;tender;Other Service;2024;Live;Tidal Transit Holdings Limited;United Kingdom;;;Tidal Transit Holdings Limited;United Kingdom;;;Tidal Transit Limited;United Kingdom;;;Tidal Transit Limited;United Kingdom;;;Tidal Transit Limited;United Kingdom;;;-;-;;;27.10;3.82;1.72;2.10;
DELTA EVENTS;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;15.00;-;-;-;
Njord Amundsen;;1036355;Gibraltar;supply;Offshore;2024;Live;Wind Holding Limited;United Kingdom;;;Njord Offshore Limited;United Kingdom;;;Gimle Shipping Limited;United Kingdom;;;Njord Offshore Limited;United Kingdom;;;Njord Offshore Limited;United Kingdom;;;-;-;;;31.80;-;1.70;-;
TETHYS  ST98;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
CANDY;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;15.00;-;-;-;
SPIRIT OF PROMETHEUS;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
AQUA LADY;;-;Germany;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
LORELEI;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
LEGACY;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
Rouen C$pe;;-;France;general cargo;-;2023;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;185.00;-;-;-;
IWS Seawalker;;9968580;Cyprus;work ship;Other Service;2024;Live;Integrated Wind Solutions ASA (IWS);Norway;;;IWS Fleet AS;Norway;;;Awind 1 AS;Norway;;;IWS Fleet Management AS;Norway;;;IWS Fleet Management AS;Norway;;;-;-;;;90.00;8.00;5.80;2.20;
SURVEX 1;;-;Reunion;dredger;Other Service;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
VAPORETTO;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;19.00;-;-;-;
IWS Starwalker;;9968592;Cyprus;work ship;Other Service;2024;Live;Integrated Wind Solutions ASA (IWS);Norway;;;IWS Fleet AS;Norway;;;Awind 2 AS;Norway;;;IWS Fleet Management AS;Norway;;;IWS Fleet Management AS;Norway;;;-;-;;;90.00;8.00;5.80;2.20;
Grechetto;;-;Germany;chemical tanker;Unknown size;2023;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
PHOENIX;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
Xplorer 18- 01;;-;U.K.;Vessel Type (unspecified);Miscellaneous;2024;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;17.95;-;1.20;-;
MULEZ L127;;-;Denmark;fishing (general);Fishing;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;8.00;-;-;-;
BROCELIANDE;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;14.00;-;-;-;
ANTARES;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
IMAGINE;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;15.00;-;-;-;
TRICEPS;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
DON'T WORRY;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;14.00;-;-;-;
ESTRELLA;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
GOOD TIMES;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;14.00;-;-;-;
CORIANDRE JUNIOR 960;;-;France;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
F/V P'TITE CHLOE;;-;France;fishing (general);Fishing;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
SKYE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
SOLIDOR;;-;France;tug;Tug;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;22.00;-;-;-;
Mo10;;9994137;U.K.;supply;Offshore;2024;Live;Mainprize Offshore Limited;United Kingdom;;;Mainprize Offshore Limited;United Kingdom;;;Mainprize Offshore Limited;United Kingdom;;;Mainprize Offshore Limited;United Kingdom;;;Mainprize Offshore Limited;United Kingdom;;;-;-;;;25.00;-;2.65;2.30;
CACTUS JACKS;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
PURE ESCAPE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
CHARMANI;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;14.00;-;-;-;
FREYJA;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
DE UYTWIJCK;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
AQUAVITESSE 12;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
TIME OUT;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
MANTA;;-;Denmark;fishing (general);Fishing;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
SORREH&:P>0;;-;Belgium;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
Vesper;;1061180;Liberia;bulk carrier;Handymax, 35'-50'dwt;2025;Live;Far East Shipping & Trading Company Limited;Japan;;;Far East Shipping & Trading Company Limited;Japan;;;Hawk Marine Corporation S.A.;Marshall Islands;;;Marine Ace Company Limited (YK Marine Ace);Japan;;;Marine Ace Company Limited (YK Marine Ace);Japan;;;-;-;;;179.99;14.80;10.20;4.60;
VESPER;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
SAMBA;;-;Germany;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
ROLLING STONE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
ALENA CT145;;-;U.K.;fishing (general);Fishing;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;15.00;-;-;-;
THE OUTLAW;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
FLYPAST;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;14.00;-;-;-;
VIVERE;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
OURANOS;;-;France;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
CLIVES DREAM;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
NAVIGO;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
Windcat 32;;1059890;Belgium;Vessel Type (unspecified);Miscellaneous;2013;Live;Belgische Scheepvaartmaatschappij-Compagnie Maritime Belge (CMB NV);Belgium;;;Windcat Workboats International BV;Netherlands;;;Windcat Workboats International BV;Netherlands;;;Windcat Workboats International BV;Netherlands;;;-;-;;;-;-;;;20.70;-;2.46;-;
Artemis;;9983798;France;general cargo;-5'dwt;2024;Live;Unknown Owners;-;;;Unknown Owners;-;;;SOCI�T� EN NOM COLLECTIF GALERNE BAIL;France;;;TransOceanic Wind Transport (TOWT);France;;;TransOceanic Wind Transport (TOWT);France;;;-;-;;;80.30;6.21;4.90;1.31;
Anemos;;9982938;France;general cargo;-5'dwt;2024;Live;Credit Mutuel Group;France;;;Credit Industriel et Commercial SA (CIC);France;;;Caroline 92 SAS;France;;;TransOceanic Wind Transport (TOWT);France;;;TransOceanic Wind Transport (TOWT);France;;;TransOceanic Wind Transport (TOWT);France;;;80.30;6.21;4.90;1.31;
ALLURE;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
ALPHECCA;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
SEEFLAG;;-;Germany;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;7.00;-;-;-;
SAZERAC;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
GAELIC ROSE;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
FOXSHIP;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
JOUSTER;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
ROSALOTT;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
ARTEMIS;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
TAIGA;;-;France;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
CALELIA;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;12.00;-;-;-;
EYECATCHER;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
SEA BADGER OF LONDON;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;23.00;-;-;-;
PLEXAT;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
ENCORE;;-;Germany;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
EASY GOING;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
ROXANNE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
SIRIUS;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
JAMINDA;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;13.00;-;-;-;
SC RUBY;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;2024;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;23.80;2.74;1.21;1.53;
COMPASS;;-;Netherlands;Tanker (unspecified);Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;120.00;-;-;-;
DUCO;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
SPECTRUM;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
CARTOUCHE;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;15.00;-;-;-;
MARONI;;-;France;Vessel Type (unspecified);Miscellaneous;2022;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;22.99;4.00;2.00;2.26;
ECHOES;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
Mjm Enterprise;;1062536;U.K.;research;Other Service;-;Live;Marshall Jakeman Marine Limited;United Kingdom;;;Marshall Jakeman Marine Limited;United Kingdom;;;Marshall Jakeman Marine Limited;United Kingdom;;;Marshall Jakeman Marine Limited;United Kingdom;;;-;-;;;-;-;;;-;-;-;-;
Windcat 57;;9981685;U.K.;work ship;Other Service;2024;Live;Belgische Scheepvaartmaatschappij-Compagnie Maritime Belge (CMB NV);Belgium;;;Windcat Workboats International BV;Netherlands;;;Windcat Workboats International BV;Netherlands;;;Windcat Workboats International BV;Netherlands;;;-;-;;;-;-;;;27.40;-;3.60;-;
AMICE;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
WIDGEON IX;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
ON ICE;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;20.00;-;-;-;
KIPPER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
CHIKITU;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
NAVIGA;;-;Germany;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
SYLVIA;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
ORINOCO;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;4.00;-;-;-;
Yellowbill;;9977945;Panama;bulk carrier;Handymax, 35'-50'dwt;2024;Live;Murakami Sekiyu Company Limited;Japan;;;Murakami Sekiyu Company Limited;Japan;;;Murakami Sekiyu Company Limited (99.0%) & Tradewind Navigation S.A. (1.0%);Japan;;;Stellar Shipmanagement Incorporated;Philippines;;;Stellar Shipmanagement Incorporated;Philippines;;;Canfornav Limited;Canada;;;179.99;15.00;10.20;4.80;
LA KORRIGANE;;-;France;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
Sept-07;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
HYGGE;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
DOVO ZEEBRUGGE I;;-;Belgium;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
BRABO 36;;-;Belgium;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;9.00;-;-;-;
FBC RIB;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
ADRIANA;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
TRUE COLOURS;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
OPAL MOON;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
ODD DAISY B;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;18.00;-;-;-;
USV GOBELIJN;;-;Belgium;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
B-RIGHT-ON;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
QUINLEE II;;-;Belgium;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;8.00;-;-;-;
FREDERIKE;;-;Germany;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
ALBION;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;11.00;-;-;-;
UNIGAS 2;;-;Switzerland;Tanker (unspecified);Unknown size;2024;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;145.00;-;-;-;
JACQUELINE;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
KILRUSH;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
MVS AVOCET;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;8.00;-;-;-;
NIVARNA;;-;U.K.;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;10.00;-;-;-;
SEM  PRESSA;;-;Poland;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
KARMALAND IV;;-;Gibraltar;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
NEELTJE;;-;Netherlands;yacht;Yacht;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;16.00;-;-;-;
MAD SCIENCE;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;AIS Unknown;-;;;-;-;;;-;-;;;-;-;;;-;-;-;-;
